Id,Label,Size,modularity_class
spatial autologistic model,spatial autologistic model,1,7
graphon estimation,graphon estimation,1,0
penalized criterion,penalized criterion,1,7
within-group estimator,within-group estimator,1,8
directed acyclic graph,directed acyclic graph,14,8
methods of moments,methods of moments,1,6
screening,screening,4,5
changepoints,changepoints,2,0
do-validation,do-validation,1,3
ill-posedness,ill-posedness,1,6
scad,scad,19,0
and vervaat,and vervaat,1,5
g-modelling,g-modelling,1,4
saddlepoint approximation,saddlepoint approximation,16,0
latent trait,latent trait,2,3
honest confidence bands,honest confidence bands,1,1
numerical methods,numerical methods,1,4
generalized least,generalized least,1,1
dual system estimation,dual system estimation,2,6
normal approximations,normal approximations,1,5
risk-set matching,risk-set matching,1,7
b spline,b spline,1,5
the sparse,the sparse,1,0
hormone profile,hormone profile,1,7
wilcoxon procedures,wilcoxon procedures,1,4
group action,group action,3,7
bayesian estimators,bayesian estimators,1,4
high-dimensional data,high-dimensional data,57,1
posterior impropriety,posterior impropriety,1,1
threshold models,threshold models,1,0
causal pathway,causal pathway,1,7
wavelet denoising,wavelet denoising,1,5
smooth cox model,smooth cox model,1,8
fractional arfima,fractional arfima,1,6
residual diagnostics,residual diagnostics,2,4
c-separation,c-separation,1,1
dp. this,dp. this,1,5
partially collapsed,partially collapsed,1,5
stopping rule,stopping rule,2,7
modified directed deviance,modified directed deviance,1,8
iso gum,iso gum,1,7
mixed integer programming,mixed integer programming,4,7
boundary bias,boundary bias,3,5
data visualization,data visualization,1,0
euclidean geometry,euclidean geometry,1,5
analysis of,analysis of,1,0
basis function,basis function,1,1
screening design,screening design,1,8
linear time series,linear time series,3,3
spectral mean,spectral mean,1,6
exact distribution theory,exact distribution theory,1,6
ordinal trait,ordinal trait,1,0
langevin algorithm,langevin algorithm,2,5
sample selection,sample selection,4,2
two-stage model,two-stage model,1,3
vc dimension,vc dimension,1,4
smoothly clipped absolute deviation (scad),smoothly clipped absolute deviation (scad),2,2
free probability,free probability,1,6
dissimilarity,dissimilarity,2,7
simultaneous confidence bands,simultaneous confidence bands,2,2
maximum pseudolikelihood,maximum pseudolikelihood,1,7
identifying restriction,identifying restriction,1,0
g-computation estimation,g-computation estimation,1,8
implicit function,implicit function,1,5
weighted approximation,weighted approximation,1,1
quality-adjusted survival time,quality-adjusted survival time,1,0
exponential error rate,exponential error rate,2,6
rna-seq,rna-seq,2,5
mode test,mode test,2,4
posteriori rule,posteriori rule,2,6
observational noise model,observational noise model,1,4
regression model,regression model,4,1
longitudinal marker process,longitudinal marker process,1,4
nonasymptotic analysis,nonasymptotic analysis,1,0
randomly scaled rho-mixing,randomly scaled rho-mixing,1,5
prediction intervals,prediction intervals,2,7
parallel implementation,parallel implementation,1,4
semiparametric varying-coefficient partially linear model,semiparametric varying-coefficient partially linear model,1,1
single-index model,single-index model,15,8
childhood obesity,childhood obesity,1,8
observed information matrix,observed information matrix,1,8
case weight,case weight,1,2
simultaneous confidence band,simultaneous confidence band,5,8
nearest neighbour,nearest neighbour,4,8
meyer wavelets,meyer wavelets,3,6
approximation spaces,approximation spaces,1,1
posterior simulation,posterior simulation,1,3
cox's model,cox's model,1,7
high-dimensional,high-dimensional,11,6
spectral algorithm,spectral algorithm,1,4
seasonality,seasonality,4,1
noise-to-signal ratio,noise-to-signal ratio,1,4
sufficient and,sufficient and,1,4
mon-parametric maximum,mon-parametric maximum,1,1
two-stage least squares,two-stage least squares,1,7
higher-order quadratic variation,higher-order quadratic variation,1,4
structure index,structure index,1,5
the methods,the methods,1,0
salience,salience,1,5
besov,besov,1,1
hadamard matrix,hadamard matrix,10,3
bayesian kemel regression,bayesian kemel regression,1,0
regression effect,regression effect,1,1
m-out-of-n bootstrap,m-out-of-n bootstrap,1,4
stratified permuted,stratified permuted,1,5
errors in covariates,errors in covariates,1,8
counting process,counting process,28,4
the sphere,the sphere,1,2
growth curve,growth curve,3,8
central contour subspace,central contour subspace,1,3
convexity,convexity,7,7
gray level,gray level,1,6
randomization tests,randomization tests,4,6
conditional independence test,conditional independence test,2,4
scan statistic,scan statistic,14,7
transformed hazard rate,transformed hazard rate,1,6
galerkin inversion,galerkin inversion,1,5
step-down test procedure,step-down test procedure,1,8
binomial data,binomial data,1,5
orthogonal arrays,orthogonal arrays,5,2
tree-structured objects,tree-structured objects,1,6
p-value aggregation,p-value aggregation,1,6
marginal parameterization,marginal parameterization,2,1
mixing distribution,mixing distribution,1,4
signed measures,signed measures,1,2
qualitative factors,qualitative factors,1,7
bounds,bounds,4,6
direct and,direct and,2,0
rank-sum statistics,rank-sum statistics,1,0
effect sparsity,effect sparsity,6,0
contamination ratio,contamination ratio,1,5
covariate-adaptive design,covariate-adaptive design,1,8
l-2 convergence,l-2 convergence,1,6
extreme eigenvalue,extreme eigenvalue,1,6
monotone regression,monotone regression,3,8
shrinkage estimator,shrinkage estimator,9,8
insurance,insurance,1,6
criterion (ric),criterion (ric),1,5
split plot design,split plot design,1,6
levy processes,levy processes,5,8
wavelet methods,wavelet methods,1,8
asymptotic framework,asymptotic framework,1,1
threshold parameter,threshold parameter,1,3
wavelet spectrum,wavelet spectrum,2,8
sparse models,sparse models,2,7
ranksvm,ranksvm,1,5
hierarchical group lasso,hierarchical group lasso,1,4
peirce decomposition,peirce decomposition,1,0
geometric probability,geometric probability,2,0
recursive estimator,recursive estimator,1,7
laplace method,laplace method,4,5
identical by,identical by,1,7
be placed,be placed,1,5
wavelet decomposition,wavelet decomposition,1,4
bayesian semiparametric modeling,bayesian semiparametric modeling,1,5
sensor networks,sensor networks,1,4
leukemia,leukemia,2,4
statistics on,statistics on,2,4
stationary limit theory,stationary limit theory,1,7
penalized least squares,penalized least squares,17,7
design of experiment,design of experiment,8,7
for computation.,for computation.,1,2
adaboost,adaboost,3,2
nonsmooth functionals,nonsmooth functionals,1,8
nearest neighbors,nearest neighbors,1,2
least squares,least squares,26,1
adaptive density estimate,adaptive density estimate,1,7
adaptive confidence balls,adaptive confidence balls,1,3
cox proportional,cox proportional,4,0
neonatal,neonatal,1,4
efficiency of estimators,efficiency of estimators,1,1
piecewise polynomials,piecewise polynomials,1,5
conditional oracle inequality,conditional oracle inequality,1,0
heteroscedasticity model,heteroscedasticity model,1,8
m-estimates,m-estimates,3,4
on the,on the,1,1
compatibility,compatibility,3,2
fixed-effects model,fixed-effects model,1,6
sufficient causes,sufficient causes,1,3
friedman rank test,friedman rank test,1,8
semiparametric epidemic-type aftershock sequence model,semiparametric epidemic-type aftershock sequence model,1,2
bias reduction,bias reduction,6,5
intrinsic mean,intrinsic mean,2,5
green's function,green's function,2,7
quatemion,quatemion,1,1
time-dependent accuracy,time-dependent accuracy,1,4
anti-concentration,anti-concentration,1,6
parkinson's disease,parkinson's disease,2,4
relevant changes,relevant changes,1,2
large fisher matrix,large fisher matrix,1,3
latent variable model,latent variable model,8,7
fdr thresholding,fdr thresholding,1,3
sample correlation matrix,sample correlation matrix,1,4
normal distributions,normal distributions,1,8
multi-stratum design,multi-stratum design,1,8
fixed censoring,fixed censoring,3,8
census undercount estimation,census undercount estimation,1,0
generalized moment matching,generalized moment matching,1,1
individual participant data,individual participant data,1,8
dependence modelling,dependence modelling,1,4
change point estimation,change point estimation,2,7
sizer,sizer,1,1
complete confounding,complete confounding,1,4
ratio estimator,ratio estimator,2,8
spatial data,spatial data,5,1
interpolated dantzig,interpolated dantzig,1,4
zonotope,zonotope,1,1
elastic metric,elastic metric,1,2
bayesian adaptation,bayesian adaptation,1,7
integrality gap,integrality gap,1,8
sequential design,sequential design,10,6
covariate effect,covariate effect,1,8
epidemic change,epidemic change,1,6
zero-inflation,zero-inflation,2,8
log f distribution,log f distribution,1,1
gaussian estimation,gaussian estimation,3,5
robust regularization,robust regularization,2,1
chained equation,chained equation,1,7
orthant probabilities,orthant probabilities,1,4
bootstrap,bootstrap,136,0
product of dirichlet process mixtures,product of dirichlet process mixtures,1,2
penalized score test,penalized score test,1,5
risk estimator,risk estimator,1,2
reciprocal lasso,reciprocal lasso,1,2
sphere packing,sphere packing,2,4
independent learning,independent learning,2,8
log-normal,log-normal,1,5
pairwise likelihood,pairwise likelihood,6,1
locally optimal designs,locally optimal designs,2,5
border plot,border plot,1,3
pointwise and minimax lower bounds,pointwise and minimax lower bounds,1,5
mixing process,mixing process,2,7
brownian motion with quadratic drift,brownian motion with quadratic drift,1,8
laplace deconvolution,laplace deconvolution,1,3
locally stationary,locally stationary,8,8
nonparametric maximum pseudo-likelihood,nonparametric maximum pseudo-likelihood,1,0
prostate cancer data,prostate cancer data,1,2
matching,matching,9,1
genetic microarrays,genetic microarrays,1,8
concentration and,concentration and,1,5
correlated residuals,correlated residuals,1,6
counterfactual model,counterfactual model,1,8
generalized bonferroni procedure,generalized bonferroni procedure,1,0
spherical needlets,spherical needlets,1,8
extreme quantiles,extreme quantiles,1,2
sphere,sphere,5,3
resource allocation,resource allocation,1,3
pointwise confidence intervals,pointwise confidence intervals,1,4
martingale difference,martingale difference,1,6
test for,test for,3,1
bahadur approximation,bahadur approximation,1,0
benjamini-liu step-down procedure,benjamini-liu step-down procedure,1,2
anomaly detection,anomaly detection,2,6
markov chain monte carlo method,markov chain monte carlo method,1,7
euler scheme,euler scheme,1,3
ill-posed problems,ill-posed problems,3,8
poststratification,poststratification,2,6
stochastic programming,stochastic programming,1,1
inverse-censoring probability weighting,inverse-censoring probability weighting,1,7
multivariate test,multivariate test,1,3
eigen-inference,eigen-inference,1,0
finite-sample risk,finite-sample risk,1,6
local adaptive mm,local adaptive mm,1,7
objective prior,objective prior,2,1
moral graph,moral graph,1,1
varying coefficient model,varying coefficient model,6,7
optimal multistep predictor,optimal multistep predictor,1,0
dna microarray analysis,dna microarray analysis,1,2
weighted variance,weighted variance,2,4
autoregressive processes,autoregressive processes,1,6
dna nucleotide sequence,dna nucleotide sequence,1,7
mode,mode,8,4
parameter function,parameter function,1,0
serniparametric model,serniparametric model,1,7
sample quantile,sample quantile,1,3
adaptive confidence sets,adaptive confidence sets,2,3
multiscale statistics,multiscale statistics,2,6
deformed wigner,deformed wigner,1,1
nadaraya-watson estimator,nadaraya-watson estimator,6,6
mixed partial derivatives,mixed partial derivatives,1,8
with immigration,with immigration,1,8
monotone rearrangement,monotone rearrangement,1,8
quantum stein's lemma,quantum stein's lemma,1,5
markov blanket,markov blanket,1,1
generalized autoregressive,generalized autoregressive,2,8
bayesian model,bayesian model,4,5
uniform size control,uniform size control,1,8
typicality,typicality,1,6
largest root,largest root,1,2
rank-based inference,rank-based inference,2,8
average-distance classifier,average-distance classifier,1,2
multiple hypergeometric function,multiple hypergeometric function,1,6
generalized least squares,generalized least squares,5,5
improper posterior,improper posterior,1,1
effect hierarchy,effect hierarchy,2,0
lacunary systems,lacunary systems,1,2
superiority-equivalence test,superiority-equivalence test,1,0
inverse gaussian,inverse gaussian,1,6
nonlinear mixed,nonlinear mixed,2,4
quadrature formulas,quadrature formulas,2,3
long-memory farima,long-memory farima,1,2
weak partitioning principle,weak partitioning principle,2,2
acyclic directed,acyclic directed,2,0
supremum distance,supremum distance,1,1
adaptive penalized,adaptive penalized,1,2
variance-correlation separation,variance-correlation separation,1,6
multiplicative intensity models,multiplicative intensity models,1,0
data model,data model,2,6
not missing,not missing,1,2
random probability,random probability,1,7
d-optimality,d-optimality,8,6
grouped selection,grouped selection,1,2
latin square,latin square,2,4
evolutionary stochastic search,evolutionary stochastic search,1,6
false important,false important,1,2
forecast evalution,forecast evalution,1,5
pilot samples,pilot samples,1,6
jackknife after bootstrap,jackknife after bootstrap,1,6
bivariate survival distribution,bivariate survival distribution,1,7
entropy,entropy,13,0
circle convexity,circle convexity,1,7
hazards model,hazards model,4,0
predictive inference,predictive inference,2,6
convex constraint,convex constraint,1,0
invariant prediction,invariant prediction,1,7
markov equivalence,markov equivalence,2,3
compound distributions,compound distributions,1,4
quantum chernoff distance,quantum chernoff distance,1,1
propriety,propriety,1,5
random quadratic form,random quadratic form,1,6
divide and conquer,divide and conquer,1,4
hybrid confidence region,hybrid confidence region,1,6
non/semiparametric,non/semiparametric,1,5
signal extraction,signal extraction,2,1
search optimization,search optimization,1,8
multiple outputs,multiple outputs,1,6
design,design,2,5
selection model,selection model,7,8
normal mixtures,normal mixtures,1,3
multivariate arch process,multivariate arch process,1,0
strong alpha-mixing,strong alpha-mixing,1,0
replicability analysis,replicability analysis,1,7
positive regression dependence,positive regression dependence,1,4
dempster's formula,dempster's formula,1,8
nonstandard bootstrap inference,nonstandard bootstrap inference,1,6
cox proportional-hazards model,cox proportional-hazards model,1,0
inheritance distribution,inheritance distribution,1,2
isotropic field,isotropic field,1,0
two-stage smoothing-based method,two-stage smoothing-based method,1,1
positive-definiteness constraint,positive-definiteness constraint,1,8
mutual independence test,mutual independence test,1,5
excursion set,excursion set,1,5
empirical distribution,empirical distribution,4,4
source localization,source localization,1,5
intensity models,intensity models,1,3
clear two-factor interaction,clear two-factor interaction,1,1
informative observation,informative observation,1,8
orthogonal design,orthogonal design,3,3
lwf markov property,lwf markov property,2,7
mixed linear model,mixed linear model,3,3
generalised estimation equation,generalised estimation equation,1,7
bayesian adaptive,bayesian adaptive,3,6
group structure,group structure,1,2
stepwise algorithm,stepwise algorithm,1,6
deconvolution,deconvolution,44,4
comparison of estimators,comparison of estimators,1,5
likelihood-based inference,likelihood-based inference,2,8
coefficient of determination,coefficient of determination,3,7
nadaraya-watson,nadaraya-watson,3,1
nonnormal error distribution,nonnormal error distribution,1,5
weighted density estimator,weighted density estimator,1,3
marginal and spatial kendall's tau,marginal and spatial kendall's tau,1,2
hyper wishart,hyper wishart,1,6
increasing dimension asymptotics,increasing dimension asymptotics,1,8
functional correlation,functional correlation,3,0
network model,network model,1,0
functional analysis,functional analysis,2,3
complete class,complete class,3,6
finite sample bounds,finite sample bounds,1,1
quantum measurement,quantum measurement,2,3
conservative tests,conservative tests,1,0
oracle estimator,oracle estimator,7,0
minimum description,minimum description,4,5
optimal convergence rate,optimal convergence rate,7,6
nonparametric model,nonparametric model,1,1
semiparametric likelihood estimator,semiparametric likelihood estimator,1,4
best polynomial approximation,best polynomial approximation,1,6
extreme-value theory,extreme-value theory,1,5
inverse covariance estimation,inverse covariance estimation,2,4
exchangeable random partition,exchangeable random partition,1,1
periodontal data,periodontal data,1,1
frequentist coverage,frequentist coverage,5,4
over-sampled periodogram,over-sampled periodogram,1,1
nonparametric kernel regression,nonparametric kernel regression,2,6
rearrangement,rearrangement,1,7
two-phase experiments,two-phase experiments,1,3
statistical inverse problem,statistical inverse problem,2,0
ancillary,ancillary,2,4
functional linear model,functional linear model,3,4
tree reconstruction,tree reconstruction,1,2
residual life,residual life,1,4
composite likelihood,composite likelihood,19,0
infinite dimensional vector linear process,infinite dimensional vector linear process,1,1
hierarchical generalised,hierarchical generalised,1,4
sparsity oracle inequalities,sparsity oracle inequalities,2,7
informative observation times,informative observation times,1,5
cyclic approximation,cyclic approximation,1,5
skew normal distribution,skew normal distribution,2,8
moving average,moving average,5,5
nonlocal prior,nonlocal prior,1,7
directional decision,directional decision,1,0
effective number,effective number,1,6
basis representation,basis representation,1,2
distributional regression,distributional regression,2,6
cumulant of traces,cumulant of traces,1,0
predictive process,predictive process,1,2
stationarity test,stationarity test,2,0
covariance estimation,covariance estimation,23,2
structured covariance matrices,structured covariance matrices,1,2
peaks over thresholds,peaks over thresholds,1,6
multivariate spatial process,multivariate spatial process,2,5
out-of-sample analysis,out-of-sample analysis,1,0
many parameters,many parameters,1,0
ar(p),ar(p),1,3
bayesian statistics,bayesian statistics,8,5
generalized methods,generalized methods,1,0
nonparametric independence screening,nonparametric independence screening,1,1
generalized partial linear regression model,generalized partial linear regression model,1,3
multivariate statistical analysis,multivariate statistical analysis,4,4
linear model,linear model,22,5
closed under addition,closed under addition,1,2
selection likelihood,selection likelihood,1,8
de wijs process,de wijs process,2,0
slab priors,slab priors,1,0
matrix-valued response,matrix-valued response,1,1
heterogeneous error variances,heterogeneous error variances,1,2
structural method,structural method,1,6
regression splines,regression splines,4,4
matching error,matching error,1,0
polya-gamma distribution,polya-gamma distribution,1,5
cyclostationary,cyclostationary,1,2
davis-kahan theorem,davis-kahan theorem,1,5
multiple decision function and process,multiple decision function and process,1,0
probabilistic graphical model,probabilistic graphical model,1,2
spatial-temporal processes,spatial-temporal processes,1,6
hidden markov model,hidden markov model,19,7
slow mixing,slow mixing,1,0
perfect classification,perfect classification,1,8
sample statistics,sample statistics,1,0
partial differential equations,partial differential equations,2,0
objective bayes,objective bayes,5,2
general likelihood,general likelihood,1,6
running median,running median,1,0
potential outcomes framework,potential outcomes framework,1,5
spherical distribution,spherical distribution,2,2
multivariate general,multivariate general,1,8
gaussian sequence model,gaussian sequence model,3,5
transfer principle,transfer principle,1,0
rank-based statistic,rank-based statistic,2,7
probit posterior simulation,probit posterior simulation,1,3
bayesian inference,bayesian inference,73,1
nearest neighbor estimator,nearest neighbor estimator,1,8
profiling procedure,profiling procedure,1,2
location differences,location differences,1,4
time-varying modeling,time-varying modeling,1,0
disclosure,disclosure,3,5
estimating integral equation,estimating integral equation,1,6
quantum measurements,quantum measurements,1,1
tests for eigenvalues,tests for eigenvalues,1,8
structural modelling,structural modelling,1,6
fisher's exact test,fisher's exact test,2,7
decennial census,decennial census,1,6
additive conditional,additive conditional,1,1
oracle properties,oracle properties,5,4
intensity,intensity,2,0
generalized double,generalized double,1,3
assignment problem,assignment problem,1,8
random field,random field,22,7
asymptotic loss efficiency,asymptotic loss efficiency,1,2
multiscale modelling,multiscale modelling,1,7
generalised likelihood,generalised likelihood,1,5
generalized g-wishart distribution,generalized g-wishart distribution,1,4
thickness,thickness,1,7
pooled testing,pooled testing,1,4
bayes consistency,bayes consistency,1,2
binary matched pairs,binary matched pairs,1,1
indirect inference,indirect inference,4,0
prediction and,prediction and,1,1
discrete optimization,discrete optimization,1,5
numerical technique,numerical technique,1,6
population pharmacokinetics,population pharmacokinetics,1,3
hawkes process,hawkes process,2,8
electrophysiology,electrophysiology,1,4
ill-posed problem,ill-posed problem,8,0
shape regularization,shape regularization,1,6
p-value combination,p-value combination,1,3
autoregression order,autoregression order,1,7
euler-lagrange equation,euler-lagrange equation,1,1
condition number,condition number,2,0
superharmonic function,superharmonic function,1,2
essential graph,essential graph,1,7
geodesics,geodesics,1,3
negative binomial processes,negative binomial processes,1,5
extended rank likelihood,extended rank likelihood,1,6
p-value,p-value,22,7
bernoulli shift,bernoulli shift,1,4
ranking data,ranking data,1,2
sequential experimentation,sequential experimentation,1,7
selection,selection,3,8
mixed response,mixed response,1,2
iterative adaptive thresholding,iterative adaptive thresholding,1,0
multiple test,multiple test,2,1
complex bingham,complex bingham,1,3
smoothed residual,smoothed residual,1,0
value theory,value theory,7,6
false discovery,false discovery,10,8
series errors,series errors,1,7
varying coefficients,varying coefficients,5,1
life tables,life tables,1,8
multiplicative distortion,multiplicative distortion,1,3
continuous but,continuous but,1,1
blind source detection,blind source detection,1,5
predictive density,predictive density,3,8
gsvcm,gsvcm,1,7
lorenz curve,lorenz curve,1,8
lifetime and,lifetime and,2,2
constrained covariance,constrained covariance,1,0
permutation test,permutation test,15,1
autoregression,autoregression,7,5
idiosyncratic,idiosyncratic,1,1
sparse random graphs,sparse random graphs,1,4
model criticism,model criticism,1,7
penalized likelihood methods,penalized likelihood methods,1,8
newton method,newton method,1,1
rate of growth,rate of growth,1,7
memory processes,memory processes,1,6
monotone smoothing,monotone smoothing,1,2
self-similar,self-similar,1,4
adaptive lasso,adaptive lasso,14,7
minimax-rate optimality,minimax-rate optimality,1,4
paired bootstrap,paired bootstrap,1,3
feature,feature,1,7
structural zero,structural zero,1,7
kurtosis coefficient,kurtosis coefficient,1,1
series models,series models,4,7
minorisation condition,minorisation condition,1,0
partition data,partition data,1,2
unwrapping,unwrapping,1,7
localized autoregressive modeling,localized autoregressive modeling,1,2
curved exponential families,curved exponential families,2,5
filaments,filaments,2,2
weighted chi-squared distribution,weighted chi-squared distribution,1,2
backwards induction,backwards induction,1,1
gene-set testing,gene-set testing,2,7
auxiliary survey information,auxiliary survey information,1,6
information theory,information theory,3,8
cumulative sum,cumulative sum,2,8
generalized estimating function,generalized estimating function,1,8
independent marginals,independent marginals,1,3
general partial sliced inverse regression,general partial sliced inverse regression,1,0
poor school-age children,poor school-age children,1,4
testing (tail) independence,testing (tail) independence,1,0
smoothing parameter,smoothing parameter,8,2
missing-data mechanism,missing-data mechanism,2,3
dual certificate,dual certificate,1,2
nonregular,nonregular,2,2
majorization-minimization algorithms,majorization-minimization algorithms,1,5
hellinger metric,hellinger metric,1,1
multiple hypotheses,multiple hypotheses,2,5
wavelet transformation,wavelet transformation,1,7
approximate inference,approximate inference,2,2
maximization-maximization algorithm,maximization-maximization algorithm,1,2
two-phase,two-phase,1,0
sparsity recovery,sparsity recovery,1,0
small sample,small sample,3,0
high-dimension low-sample data,high-dimension low-sample data,1,6
small clusters,small clusters,1,1
starting with,starting with,1,6
interaction effect,interaction effect,1,8
order statistic,order statistic,3,1
composite sampling,composite sampling,1,6
local mixture model,local mixture model,1,1
segmentation,segmentation,5,1
optional stopping theorem,optional stopping theorem,1,0
joint causal effects,joint causal effects,1,0
generalized ridge regression,generalized ridge regression,1,1
stochastic gradient algorithms,stochastic gradient algorithms,1,3
group sequential methods,group sequential methods,1,5
minimax,minimax,20,3
probit stick,probit stick,1,2
survey sampling,survey sampling,12,6
highest posterior,highest posterior,3,5
screening experiments,screening experiments,1,7
forestry,forestry,2,8
asymptotic equivalent kernel,asymptotic equivalent kernel,1,5
k-sample test,k-sample test,1,8
partially linear single,partially linear single,1,8
lepski's method,lepski's method,3,2
visushrink,visushrink,1,2
square error,square error,2,1
hypothesis test,hypothesis test,18,7
wishart distribution,wishart distribution,8,4
tail,tail,1,2
manifold,manifold,7,1
compositional equivalence,compositional equivalence,1,7
self-decomposability,self-decomposability,1,8
predictive power,predictive power,1,5
multiple tests,multiple tests,1,7
local score decomposition,local score decomposition,1,2
g-wishart prior,g-wishart prior,1,5
multivariate survival,multivariate survival,2,3
statistical learning theory,statistical learning theory,3,0
random partitions,random partitions,2,3
pivotal,pivotal,2,4
lasso stability,lasso stability,1,8
wald test,wald test,6,7
categorical data analysis,categorical data analysis,1,0
projected likelihood,projected likelihood,1,6
multivariate conditionally,multivariate conditionally,1,5
partial switching,partial switching,1,4
hierarchical mixture model,hierarchical mixture model,1,5
time-varying effect,time-varying effect,2,3
in vc-classes,in vc-classes,1,7
turnbull interval,turnbull interval,1,5
spectral envelope,spectral envelope,1,6
em algorithm,em algorithm,89,4
optimal kernel construction,optimal kernel construction,1,5
plausibility function,plausibility function,1,3
time to event,time to event,1,6
staggered entry,staggered entry,1,7
cluster randomization,cluster randomization,1,6
local minimax bounds,local minimax bounds,1,1
volume test,volume test,1,0
symmetric departures,symmetric departures,1,0
unordered-paired data,unordered-paired data,1,8
local estimating equation,local estimating equation,1,7
geometry in statistics,geometry in statistics,1,2
log-concave projection,log-concave projection,1,2
objective bayesian methods,objective bayesian methods,1,4
sample distribution,sample distribution,1,0
referral to specialists,referral to specialists,1,2
tree-structured graphs,tree-structured graphs,1,0
weighted least absolute deviations estimator,weighted least absolute deviations estimator,1,8
cp,cp,1,0
penalized smoothing,penalized smoothing,2,1
reml,reml,6,8
pitman efficiency,pitman efficiency,4,0
monte carlo simulation,monte carlo simulation,6,4
linear transformation models,linear transformation models,1,3
analytic function,analytic function,1,5
estimating a,estimating a,1,6
positive regression dependency,positive regression dependency,2,6
nuisance functional contours,nuisance functional contours,1,4
posterior,posterior,4,4
spatial frailty,spatial frailty,1,4
genetic statistics,genetic statistics,1,3
item response,item response,1,2
poisson mixture,poisson mixture,3,0
shape matrices,shape matrices,1,5
information variate,information variate,1,2
fisherian inference,fisherian inference,1,6
scalar-invariance,scalar-invariance,1,6
data tilting,data tilting,1,3
cancer prevention,cancer prevention,1,3
one-sided p-value,one-sided p-value,1,0
ladle estimator,ladle estimator,1,0
matrix-variate dynamic,matrix-variate dynamic,1,7
path analysis,path analysis,1,8
data-generating process,data-generating process,1,2
multivariate response regression,multivariate response regression,2,3
linear integral operator,linear integral operator,1,0
homogeneity test,homogeneity test,2,5
marginal integration,marginal integration,3,8
consistent estimate,consistent estimate,1,3
nonparametric sharp,nonparametric sharp,1,1
order of bias,order of bias,1,8
design-based approach,design-based approach,1,6
most powerful test,most powerful test,1,7
wiener process,wiener process,1,4
stepwise regression,stepwise regression,7,6
shape,shape,2,5
lattice point count,lattice point count,1,8
eigenfunction,eigenfunction,11,7
advection-diffusion equation,advection-diffusion equation,1,8
sequential regression,sequential regression,1,4
distribution,distribution,1,5
systems biology,systems biology,2,1
estimation bias,estimation bias,1,0
maximum eigenvalue,maximum eigenvalue,1,7
magnetic fields,magnetic fields,1,1
one step estimation,one step estimation,1,0
periodic kernel,periodic kernel,1,6
gamma process prior,gamma process prior,1,5
and low,and low,1,0
spatial covariance,spatial covariance,2,3
alias set,alias set,2,5
multivariate right-censored data,multivariate right-censored data,1,6
sinh-normal distribution,sinh-normal distribution,1,0
surrogate variable,surrogate variable,1,5
recurring event times,recurring event times,1,7
minimum moment aberration,minimum moment aberration,1,6
risk management systems,risk management systems,1,7
generalized multiple,generalized multiple,1,8
location-scale family,location-scale family,1,2
musical sound signals,musical sound signals,1,2
singular noncentral wishart,singular noncentral wishart,1,1
hiv,hiv,3,0
adaptive methods,adaptive methods,2,2
composite quasi-maximum,composite quasi-maximum,1,3
spatial autocorrelation,spatial autocorrelation,2,7
auto-covariance matrices,auto-covariance matrices,1,7
bayesian consistency,bayesian consistency,3,3
ultra high-dimensional,ultra high-dimensional,1,3
missingness at random,missingness at random,4,5
nonparametric additive regression,nonparametric additive regression,1,8
simes's inequality,simes's inequality,1,8
linear spectral statistics,linear spectral statistics,4,6
white gaussian,white gaussian,1,3
pless power,pless power,2,7
dual timescales,dual timescales,1,5
odds ratio function,odds ratio function,2,6
adding noise,adding noise,1,2
non-parametric mean estimation,non-parametric mean estimation,1,6
hierarchical regression,hierarchical regression,1,5
information gain,information gain,1,8
kernel weighted estimation,kernel weighted estimation,1,8
multivariate alternative,multivariate alternative,1,6
binary response,binary response,6,7
doubly robust estimator,doubly robust estimator,2,0
hellinger integral,hellinger integral,1,7
longitudinal or,longitudinal or,1,5
smoothness regularization,smoothness regularization,1,4
nonparametric function estimation,nonparametric function estimation,3,6
continuous treatment,continuous treatment,1,5
glivenko-cantelli class,glivenko-cantelli class,1,7
maxstable processes,maxstable processes,1,1
ordered smoother,ordered smoother,1,1
forward stagewise regression,forward stagewise regression,1,3
greedy equivalence,greedy equivalence,1,7
rna,rna,1,2
graph laplacian,graph laplacian,3,7
nonlinear regression,nonlinear regression,13,2
m estimator,m estimator,3,3
restricted randomization,restricted randomization,2,7
unimodality,unimodality,3,7
of experiments,of experiments,1,5
earthquake declustering,earthquake declustering,1,1
electroencephalography,electroencephalography,3,8
residual resampling,residual resampling,1,6
auxiliary variable method,auxiliary variable method,1,6
adjacency matrices,adjacency matrices,1,1
decouple/recouple,decouple/recouple,1,6
intrinsic regression,intrinsic regression,1,2
cdna microarray,cdna microarray,1,4
generalized auto-regressive conditional heteroscedasticity model,generalized auto-regressive conditional heteroscedasticity model,1,7
pythagorean property,pythagorean property,1,6
average model,average model,2,5
harish-chandra c-function,harish-chandra c-function,1,2
tusnady's inequality,tusnady's inequality,1,1
helical structures,helical structures,1,6
approximate factor model,approximate factor model,6,1
self-excited threshold process,self-excited threshold process,1,4
missingness assumption,missingness assumption,1,2
functional gradient descent,functional gradient descent,1,0
pseudoranks,pseudoranks,1,2
curve estimation,curve estimation,9,2
species richness estimation,species richness estimation,1,0
akaike's information criterion,akaike's information criterion,5,8
nonstationary poisson process,nonstationary poisson process,1,6
