Source,Target,Weight
gamma ranking,mixture model,1
gamma ranking,next generation sequencing,1
gamma ranking,poisson embedding,1
gamma ranking,rank probability,1
mixture model,next generation sequencing,2
mixture model,poisson embedding,1
mixture model,rank probability,1
next generation sequencing,poisson embedding,1
next generation sequencing,rank probability,1
poisson embedding,rank probability,1
principal components,tests for eigenvectors,1
principal components,tests for eigenvalues,1
elliptical densities,principal components,1
principal components,scatter matrix,1
principal components,shape matrix,1
multivariate ranks,principal components,1
and signs,principal components,1
local asymptotic normality,principal components,1
curved experiments,principal components,1
tests for eigenvalues,tests for eigenvectors,1
elliptical densities,tests for eigenvectors,1
scatter matrix,tests for eigenvectors,1
shape matrix,tests for eigenvectors,1
multivariate ranks,tests for eigenvectors,1
and signs,tests for eigenvectors,1
local asymptotic normality,tests for eigenvectors,1
curved experiments,tests for eigenvectors,1
elliptical densities,tests for eigenvalues,1
scatter matrix,tests for eigenvalues,1
shape matrix,tests for eigenvalues,1
multivariate ranks,tests for eigenvalues,1
and signs,tests for eigenvalues,1
local asymptotic normality,tests for eigenvalues,1
curved experiments,tests for eigenvalues,1
elliptical densities,scatter matrix,1
elliptical densities,shape matrix,3
elliptical densities,multivariate ranks,3
and signs,elliptical densities,3
elliptical densities,local asymptotic normality,3
curved experiments,elliptical densities,1
scatter matrix,shape matrix,2
multivariate ranks,scatter matrix,1
and signs,scatter matrix,1
local asymptotic normality,scatter matrix,2
curved experiments,scatter matrix,1
multivariate ranks,shape matrix,3
and signs,shape matrix,3
local asymptotic normality,shape matrix,5
curved experiments,shape matrix,1
and signs,multivariate ranks,3
local asymptotic normality,multivariate ranks,4
curved experiments,multivariate ranks,1
and signs,local asymptotic normality,3
and signs,curved experiments,1
curved experiments,local asymptotic normality,1
posterior distribution,rate of convergence,8
adaptation,rate of convergence,2
bayesian inference,rate of convergence,3
nonparametric regression,rate of convergence,3
kernel mixture priors,rate of convergence,1
adaptation,posterior distribution,2
bayesian inference,posterior distribution,3
nonparametric regression,posterior distribution,2
kernel mixture priors,posterior distribution,1
adaptation,kernel mixture priors,1
bayesian inference,nonparametric regression,4
bayesian inference,kernel mixture priors,1
kernel mixture priors,nonparametric regression,1
almost sure convergence,functional data analysis,1
almost sure convergence,kernel,1
almost sure convergence,local polynomial,1
almost sure convergence,nonparametric inference,1
almost sure convergence,principal components,1
functional data analysis,kernel,1
functional data analysis,local polynomial,1
functional data analysis,nonparametric inference,1
functional data analysis,principal components,9
kernel,local polynomial,2
kernel,nonparametric inference,1
kernel,principal components,1
local polynomial,nonparametric inference,1
local polynomial,principal components,1
nonparametric inference,principal components,1
autocovariance,curve time series,1
autocovariance,dimension reduction,1
autocovariance,eigenanalysis,1
autocovariance,karhunen-loeve expansion,1
autocovariance,n convergence rate,1
autocovariance,root-n convergence rate,1
curve time series,dimension reduction,1
curve time series,eigenanalysis,1
curve time series,karhunen-loeve expansion,1
curve time series,n convergence rate,1
curve time series,root-n convergence rate,1
dimension reduction,eigenanalysis,4
dimension reduction,karhunen-loeve expansion,2
dimension reduction,n convergence rate,1
dimension reduction,root-n convergence rate,1
eigenanalysis,karhunen-loeve expansion,1
eigenanalysis,n convergence rate,1
eigenanalysis,root-n convergence rate,1
karhunen-loeve expansion,n convergence rate,1
karhunen-loeve expansion,root-n convergence rate,1
n convergence rate,root-n convergence rate,1
covariance,eigenfunction,2
covariance,eigenvalue,2
covariance,functional linear regression,1
covariance,minimax,2
covariance,optimal convergence rate,2
covariance,principal component analysis,1
covariance,reproducing kernel,1
covariance,hilbert space,1
covariance,sacks-ylvisaker conditions,1
covariance,simultaneous diagonalization,1
covariance,slope function,1
covariance,sobolev space,1
eigenfunction,eigenvalue,6
eigenfunction,minimax,2
eigenfunction,optimal convergence rate,3
eigenfunction,reproducing kernel,1
eigenfunction,hilbert space,1
eigenfunction,sacks-ylvisaker conditions,1
eigenfunction,simultaneous diagonalization,1
eigenfunction,slope function,1
eigenfunction,sobolev space,1
eigenvalue,functional linear regression,1
eigenvalue,minimax,2
eigenvalue,optimal convergence rate,3
eigenvalue,principal component analysis,3
eigenvalue,reproducing kernel,1
eigenvalue,hilbert space,1
eigenvalue,sacks-ylvisaker conditions,1
eigenvalue,simultaneous diagonalization,1
eigenvalue,slope function,1
eigenvalue,sobolev space,1
functional linear regression,minimax,1
functional linear regression,optimal convergence rate,1
functional linear regression,reproducing kernel,1
functional linear regression,hilbert space,1
functional linear regression,sacks-ylvisaker conditions,1
functional linear regression,simultaneous diagonalization,1
functional linear regression,slope function,1
functional linear regression,sobolev space,1
minimax,optimal convergence rate,3
minimax,principal component analysis,1
minimax,sacks-ylvisaker conditions,1
minimax,simultaneous diagonalization,1
minimax,slope function,1
optimal convergence rate,principal component analysis,2
optimal convergence rate,reproducing kernel,1
hilbert space,optimal convergence rate,1
optimal convergence rate,sacks-ylvisaker conditions,1
optimal convergence rate,simultaneous diagonalization,1
optimal convergence rate,slope function,1
optimal convergence rate,sobolev space,1
principal component analysis,reproducing kernel,1
hilbert space,principal component analysis,1
principal component analysis,sacks-ylvisaker conditions,1
principal component analysis,simultaneous diagonalization,1
principal component analysis,slope function,1
principal component analysis,sobolev space,1
reproducing kernel,sacks-ylvisaker conditions,1
reproducing kernel,simultaneous diagonalization,1
reproducing kernel,slope function,1
hilbert space,sacks-ylvisaker conditions,1
hilbert space,simultaneous diagonalization,1
hilbert space,slope function,1
sacks-ylvisaker conditions,simultaneous diagonalization,1
sacks-ylvisaker conditions,slope function,1
sacks-ylvisaker conditions,sobolev space,1
simultaneous diagonalization,slope function,1
simultaneous diagonalization,sobolev space,1
slope function,sobolev space,1
changepoint problems,shiryaev-roberts procedures,1
changepoint problems,sequential detection,1
sequential detection,shiryaev-roberts procedures,1
functional data analysis,longitudinal data,7
functional data analysis,stochastic differential equation,2
functional data analysis,gaussian process,6
longitudinal data,stochastic differential equation,1
gaussian process,longitudinal data,2
gaussian process,stochastic differential equation,2
convex optimization,covariance matrices,3
covariance matrices,quadratic programs,1
covariance matrices,multivariate statistical analysis,5
concentration of measure,covariance matrices,3
covariance matrices,markowitz problem,1
covariance matrices,wishart matrices,1
covariance matrices,elliptical distributions,1
convex optimization,quadratic programs,1
convex optimization,multivariate statistical analysis,1
concentration of measure,convex optimization,1
convex optimization,random matrix theory,2
convex optimization,markowitz problem,1
convex optimization,wishart matrices,1
convex optimization,elliptical distributions,1
multivariate statistical analysis,quadratic programs,1
high-dimensional inference,quadratic programs,1
concentration of measure,quadratic programs,1
quadratic programs,random matrix theory,1
markowitz problem,quadratic programs,1
quadratic programs,wishart matrices,1
elliptical distributions,quadratic programs,1
high-dimensional inference,multivariate statistical analysis,4
concentration of measure,multivariate statistical analysis,3
multivariate statistical analysis,random matrix theory,4
markowitz problem,multivariate statistical analysis,1
multivariate statistical analysis,wishart matrices,1
elliptical distributions,multivariate statistical analysis,1
concentration of measure,high-dimensional inference,3
high-dimensional inference,markowitz problem,1
high-dimensional inference,wishart matrices,1
elliptical distributions,high-dimensional inference,1
concentration of measure,random matrix theory,3
concentration of measure,markowitz problem,1
concentration of measure,wishart matrices,1
concentration of measure,elliptical distributions,1
markowitz problem,random matrix theory,1
random matrix theory,wishart matrices,2
elliptical distributions,random matrix theory,1
markowitz problem,wishart matrices,1
elliptical distributions,markowitz problem,1
elliptical distributions,wishart matrices,1
generalized linear models,independent learning,1
generalized linear models,sure independent screening,1
independent learning,sure independent screening,1
independent learning,variable selection,2
sure independent screening,variable selection,3
pc scores,pca,1
pca,random matrix,1
pc regression,pca,1
pc scores,random matrix,1
pc regression,pc scores,1
pc regression,random matrix,1
graph,multiple testing,1
familywise error rate,graph,1
entropy estimation,estimation of,2
entropy estimation,statistical distance,2
entropy estimation,estimation of divergence,2
entropy estimation,nearest-neighbor distances,2
entropy estimation,renyi entropy,2
entropy estimation,havrda-charvat entropy,2
entropy estimation,tsallis entropy,2
estimation of,statistical distance,2
estimation of,estimation of divergence,2
estimation of,nearest-neighbor distances,2
estimation of,renyi entropy,2
estimation of,havrda-charvat entropy,2
estimation of,tsallis entropy,2
estimation of divergence,statistical distance,2
nearest-neighbor distances,statistical distance,2
renyi entropy,statistical distance,2
havrda-charvat entropy,statistical distance,2
statistical distance,tsallis entropy,2
estimation of divergence,nearest-neighbor distances,2
estimation of divergence,renyi entropy,2
estimation of divergence,havrda-charvat entropy,2
estimation of divergence,tsallis entropy,2
nearest-neighbor distances,renyi entropy,2
havrda-charvat entropy,nearest-neighbor distances,2
nearest-neighbor distances,tsallis entropy,2
havrda-charvat entropy,renyi entropy,2
renyi entropy,tsallis entropy,2
havrda-charvat entropy,tsallis entropy,2
gene selection,genewise variance estimation,1
genewise variance estimation,local linear regression,1
genewise variance estimation,nonparametric model,1
correlation correction,genewise variance estimation,1
genewise variance estimation,validation test,1
gene selection,local linear regression,1
gene selection,nonparametric model,1
correlation correction,gene selection,1
gene selection,validation test,1
local linear regression,nonparametric model,1
correlation correction,local linear regression,1
local linear regression,validation test,1
correlation correction,nonparametric model,1
nonparametric model,validation test,1
correlation correction,validation test,1
bayesian model selection,empirical bayes,1
bayesian model selection,multiple testing,1
bayesian model selection,variable selection,1
empirical bayes,multiple testing,4
empirical bayes,variable selection,1
multiple testing,variable selection,2
mu-selector,sparsity,1
matrix uncertainty,sparsity,1
errors-in-variables model,sparsity,1
sign consistency,sparsity,1
oracle inequalities,sparsity,4
restricted eigenvalue assumption,sparsity,1
missing data,sparsity,1
portfolio selection,sparsity,1
portfolio replication,sparsity,1
matrix uncertainty,mu-selector,1
errors-in-variables model,mu-selector,1
measurement error,mu-selector,1
mu-selector,sign consistency,1
mu-selector,oracle inequalities,1
mu-selector,restricted eigenvalue assumption,1
missing data,mu-selector,1
mu-selector,portfolio selection,1
mu-selector,portfolio replication,1
errors-in-variables model,matrix uncertainty,1
matrix uncertainty,measurement error,1
matrix uncertainty,sign consistency,1
matrix uncertainty,oracle inequalities,1
matrix uncertainty,restricted eigenvalue assumption,1
matrix uncertainty,missing data,1
matrix uncertainty,portfolio selection,1
matrix uncertainty,portfolio replication,1
errors-in-variables model,measurement error,1
errors-in-variables model,sign consistency,1
errors-in-variables model,oracle inequalities,1
errors-in-variables model,restricted eigenvalue assumption,1
errors-in-variables model,missing data,1
errors-in-variables model,portfolio selection,1
errors-in-variables model,portfolio replication,1
measurement error,sign consistency,1
measurement error,oracle inequalities,1
measurement error,restricted eigenvalue assumption,1
measurement error,missing data,12
measurement error,portfolio selection,1
measurement error,portfolio replication,1
oracle inequalities,sign consistency,1
restricted eigenvalue assumption,sign consistency,1
missing data,sign consistency,1
portfolio selection,sign consistency,1
portfolio replication,sign consistency,1
oracle inequalities,restricted eigenvalue assumption,1
missing data,oracle inequalities,1
oracle inequalities,portfolio selection,1
oracle inequalities,portfolio replication,1
missing data,restricted eigenvalue assumption,1
portfolio selection,restricted eigenvalue assumption,1
portfolio replication,restricted eigenvalue assumption,1
missing data,portfolio selection,1
missing data,portfolio replication,1
portfolio replication,portfolio selection,1
bootstrap,exponential distribution,1
bootstrap,exponential tails,1
bootstrap,extreme values,2
bootstrap,order statistics,1
bootstrap,pareto distribution,1
bootstrap,performance rankings,1
bootstrap,regularly varying tails,1
exponential distribution,exponential tails,1
exponential distribution,extreme values,1
exponential distribution,order statistics,1
exponential distribution,pareto distribution,1
exponential distribution,performance rankings,1
exponential distribution,regularly varying tails,1
exponential tails,extreme values,1
exponential tails,order statistics,1
exponential tails,pareto distribution,1
exponential tails,performance rankings,1
exponential tails,regularly varying tails,1
extreme values,order statistics,1
extreme values,pareto distribution,1
extreme values,performance rankings,1
extreme values,regularly varying tails,1
order statistics,pareto distribution,2
order statistics,performance rankings,1
order statistics,regularly varying tails,1
pareto distribution,performance rankings,1
pareto distribution,regularly varying tails,1
performance rankings,regularly varying tails,1
density clustering,kernel density estimation,1
excess risk,spectral regularization,1
ordered smoother,spectral regularization,1
empirical risk minimization,spectral regularization,1
oracle inequality,spectral regularization,1
excess risk,ordered smoother,1
empirical risk minimization,excess risk,1
excess risk,oracle inequality,1
empirical risk minimization,ordered smoother,1
oracle inequality,ordered smoother,1
empirical risk minimization,oracle inequality,2
asymptotic efficiency,convergence,1
asymptotic efficiency,markov chain,1
asymptotic efficiency,monte carlo,2
asymptotic efficiency,stochastic approximation,1
asymptotic efficiency,trajectory averaging,1
convergence,markov chain,3
convergence,monte carlo,3
convergence,stochastic approximation,1
convergence,trajectory averaging,1
markov chain,stochastic approximation,4
markov chain,trajectory averaging,1
monte carlo,stochastic approximation,8
monte carlo,monte carlo,8
monte carlo,trajectory averaging,2
stochastic approximation,trajectory averaging,1
backfitting,nonparametric regression,2
backfitting,quantile estimation,1
nonparametric regression,quantile estimation,1
additive models,nonparametric regression,2
additive models,quantile estimation,1
bootstrap confidence set,bootstrap consistency,1
bootstrap consistency,semiparametric model,1
bootstrap consistency,m-estimation,1
bootstrap confidence set,semiparametric model,1
bootstrap confidence set,m-estimation,1
m-estimation,semiparametric model,1
heat kernel,nonparametric density estimation,1
bandwidth selection,nonparametric density estimation,1
langevin process,nonparametric density estimation,1
diffusion equation,nonparametric density estimation,1
boundary bias,nonparametric density estimation,1
nonparametric density estimation,normal reference rules,1
data sharpening,nonparametric density estimation,1
nonparametric density estimation,variable bandwidth,1
bandwidth selection,heat kernel,1
heat kernel,langevin process,1
diffusion equation,heat kernel,1
boundary bias,heat kernel,1
heat kernel,normal reference rules,1
data sharpening,heat kernel,1
heat kernel,variable bandwidth,1
bandwidth selection,langevin process,1
bandwidth selection,diffusion equation,1
bandwidth selection,boundary bias,2
bandwidth selection,normal reference rules,1
bandwidth selection,data sharpening,1
bandwidth selection,variable bandwidth,1
diffusion equation,langevin process,1
boundary bias,langevin process,1
langevin process,normal reference rules,1
data sharpening,langevin process,1
langevin process,variable bandwidth,1
boundary bias,diffusion equation,1
diffusion equation,normal reference rules,1
data sharpening,diffusion equation,1
diffusion equation,variable bandwidth,1
boundary bias,normal reference rules,1
boundary bias,data sharpening,1
boundary bias,variable bandwidth,1
data sharpening,normal reference rules,1
normal reference rules,variable bandwidth,1
data sharpening,variable bandwidth,1
local stationarity,nonstationarity,1
long-range dependence,nonstationarity,1
nonstationarity,whittle estimation,1
efficiency,nonstationarity,1
local stationarity,long-range dependence,1
local stationarity,whittle estimation,1
consistency,local stationarity,1
asymptotic normality,local stationarity,1
efficiency,local stationarity,1
long-range dependence,whittle estimation,2
consistency,long-range dependence,1
asymptotic normality,long-range dependence,1
efficiency,long-range dependence,1
consistency,whittle estimation,1
asymptotic normality,whittle estimation,1
efficiency,whittle estimation,1
consistency,efficiency,7
asymptotic normality,efficiency,4
density estimation,unimodal,1
density estimation,strongly unimodal,1
density estimation,shape constraints,1
convex optimization,density estimation,1
density estimation,duality,1
density estimation,entropy,1
density estimation,semidefinite programming,1
convex optimization,unimodal,1
duality,unimodal,1
entropy,unimodal,1
semidefinite programming,unimodal,1
convex optimization,strongly unimodal,1
duality,strongly unimodal,1
entropy,strongly unimodal,1
semidefinite programming,strongly unimodal,1
convex optimization,shape constraints,1
duality,shape constraints,1
entropy,shape constraints,1
semidefinite programming,shape constraints,1
convex optimization,duality,1
convex optimization,entropy,1
convex optimization,semidefinite programming,1
duality,entropy,1
duality,semidefinite programming,1
entropy,semidefinite programming,1
adaptive neyman test,dimension reduction,1
adaptive neyman test,elliptically contoured distribution,1
adaptive neyman test,functional data analysis,1
adaptive neyman test,principal components,2
dimension reduction,elliptically contoured distribution,1
dimension reduction,principal components,3
elliptically contoured distribution,functional data analysis,1
elliptically contoured distribution,principal components,2
hypothesis testing,multiple hypotheses,1
gaussian processes,hypothesis testing,1
gaussian processes,multiple hypotheses,1
chapman-kolmogorov equation,markov hypothesis,1
locally linear smoother,markov hypothesis,1
markov hypothesis,transition density,1
diffusion,markov hypothesis,1
chapman-kolmogorov equation,locally linear smoother,1
chapman-kolmogorov equation,transition density,1
chapman-kolmogorov equation,diffusion,1
locally linear smoother,transition density,1
diffusion,locally linear smoother,1
analysis of variance,balance,2
analysis of variance,decomposition table,2
analysis of variance,design of experiments,2
analysis of variance,efficiency factor,2
analysis of variance,intertier interaction,1
analysis of variance,orthogonal decomposition,2
analysis of variance,pseudofactor,2
balance,decomposition table,2
balance,design of experiments,2
balance,efficiency factor,2
balance,intertier interaction,1
balance,multiphase experiments,2
balance,multitiered experiments,2
balance,orthogonal decomposition,2
balance,pseudofactor,2
balance,structure,2
balance,tier,2
decomposition table,design of experiments,2
decomposition table,efficiency factor,2
decomposition table,intertier interaction,1
decomposition table,multiphase experiments,2
decomposition table,multitiered experiments,2
decomposition table,orthogonal decomposition,2
decomposition table,pseudofactor,2
decomposition table,structure,2
decomposition table,tier,2
design of experiments,efficiency factor,2
design of experiments,intertier interaction,1
design of experiments,multiphase experiments,2
design of experiments,multitiered experiments,3
design of experiments,orthogonal decomposition,2
design of experiments,pseudofactor,2
design of experiments,structure,2
design of experiments,tier,2
efficiency factor,intertier interaction,1
efficiency factor,multiphase experiments,2
efficiency factor,multitiered experiments,2
efficiency factor,orthogonal decomposition,2
efficiency factor,pseudofactor,2
efficiency factor,structure,2
efficiency factor,tier,2
intertier interaction,multiphase experiments,1
intertier interaction,multitiered experiments,1
intertier interaction,orthogonal decomposition,1
intertier interaction,pseudofactor,1
intertier interaction,structure,1
intertier interaction,tier,1
multiphase experiments,orthogonal decomposition,2
multiphase experiments,pseudofactor,2
multitiered experiments,orthogonal decomposition,2
multitiered experiments,pseudofactor,2
orthogonal decomposition,pseudofactor,2
orthogonal decomposition,structure,2
orthogonal decomposition,tier,2
pseudofactor,structure,2
pseudofactor,tier,2
kernel matrices,multivariate statistical analysis,2
high-dimensional inference,kernel matrices,2
kernel matrices,random matrix theory,2
kernel matrices,machine learning,2
concentration of measure,kernel matrices,2
machine learning,multivariate statistical analysis,2
high-dimensional inference,machine learning,2
machine learning,random matrix theory,2
concentration of measure,machine learning,2
bayes factors,bic,2
bayes factors,intrinsic priors,3
bayes factors,linear models,2
bayes factors,multiplicity of parameters,1
bayes factors,rate of growth,1
bic,intrinsic priors,1
bic,linear models,1
bic,multiplicity of parameters,1
bic,rate of growth,1
intrinsic priors,linear models,4
intrinsic priors,multiplicity of parameters,1
intrinsic priors,rate of growth,1
linear models,multiplicity of parameters,1
linear models,rate of growth,1
multiplicity of parameters,rate of growth,1
decreasing density,empirical distribution function,1
decreasing density,least concave majorant,1
decreasing density,m out of n bootstrap,1
decreasing density,nonparametric maximum,1
decreasing density,likelihood estimate,1
decreasing density,smoothed bootstrap,1
empirical distribution function,least concave majorant,1
empirical distribution function,m out of n bootstrap,1
empirical distribution function,nonparametric maximum,1
empirical distribution function,likelihood estimate,1
empirical distribution function,smoothed bootstrap,1
least concave majorant,m out of n bootstrap,1
least concave majorant,nonparametric maximum,1
least concave majorant,likelihood estimate,1
least concave majorant,smoothed bootstrap,1
m out of n bootstrap,nonparametric maximum,1
likelihood estimate,m out of n bootstrap,1
m out of n bootstrap,smoothed bootstrap,1
likelihood estimate,nonparametric maximum,1
nonparametric maximum,smoothed bootstrap,1
likelihood estimate,smoothed bootstrap,1
l(1) regularization,lasso,1
group lasso,l(1) regularization,1
l(1) regularization,regression,1
l(1) regularization,sparsity,1
group sparsity,l(1) regularization,1
l(1) regularization,variable selection,1
l(1) regularization,parameter estimation,1
lasso,regression,3
group sparsity,lasso,1
lasso,parameter estimation,2
group lasso,regression,1
group lasso,parameter estimation,1
regression,sparsity,2
group sparsity,regression,1
regression,variable selection,3
parameter estimation,regression,2
group sparsity,sparsity,1
parameter estimation,sparsity,2
group sparsity,variable selection,1
group sparsity,parameter estimation,1
parameter estimation,variable selection,2
adaptivity,asymptotic equivalence,3
adaptivity,exponential family,1
adaptivity,james-stein estimator,4
adaptivity,nonparametric gaussian regression,1
adaptivity,quadratic variance function,1
adaptivity,quantile coupling,3
adaptivity,wavelets,4
asymptotic equivalence,exponential family,1
asymptotic equivalence,james-stein estimator,3
asymptotic equivalence,nonparametric gaussian regression,1
asymptotic equivalence,quadratic variance function,1
asymptotic equivalence,quantile coupling,3
asymptotic equivalence,wavelets,3
exponential family,james-stein estimator,1
exponential family,nonparametric gaussian regression,1
exponential family,quadratic variance function,1
exponential family,quantile coupling,1
exponential family,wavelets,1
james-stein estimator,nonparametric gaussian regression,1
james-stein estimator,quadratic variance function,1
james-stein estimator,quantile coupling,3
james-stein estimator,wavelets,4
nonparametric gaussian regression,quadratic variance function,1
nonparametric gaussian regression,quantile coupling,1
nonparametric gaussian regression,wavelets,1
quadratic variance function,quantile coupling,1
quadratic variance function,wavelets,1
quantile coupling,wavelets,3
measure of,measure of association,1
conditional association,measure of association,1
conditional independence test,measure of association,1
conditional association,measure of,1
conditional independence test,measure of,1
conditional association,conditional independence test,1
backfitting,partially linear models,1
backfitting,penalized variable selection,1
backfitting,proportional hazards,1
backfitting,penalized partial likelihood,1
backfitting,smoothing spline anova,1
partially linear models,penalized variable selection,1
partially linear models,proportional hazards,1
partially linear models,penalized partial likelihood,1
partially linear models,smoothing spline anova,1
penalized variable selection,proportional hazards,1
penalized partial likelihood,penalized variable selection,1
penalized variable selection,smoothing spline anova,1
penalized partial likelihood,proportional hazards,1
proportional hazards,smoothing spline anova,1
penalized partial likelihood,smoothing spline anova,1
covariance matrix,operator norm,1
covariance matrix,tapering,1
frobenius norm,operator norm,1
frobenius norm,tapering,1
minimax lower bound,operator norm,1
minimax lower bound,tapering,1
operator norm,optimal rate,1
of convergence,operator norm,1
operator norm,tapering,1
optimal rate,tapering,1
of convergence,tapering,1
absolute regularity,block bootstrap,1
absolute regularity,clustering of extremes,1
absolute regularity,extremes,1
absolute regularity,local empirical processes,1
absolute regularity,rare events,1
absolute regularity,tail distribution function,1
absolute regularity,uniform central,1
absolute regularity,limit theorem,1
block bootstrap,clustering of extremes,1
block bootstrap,extremes,1
block bootstrap,local empirical processes,1
block bootstrap,rare events,1
block bootstrap,tail distribution function,1
block bootstrap,uniform central,1
block bootstrap,limit theorem,1
clustering of extremes,extremes,1
clustering of extremes,local empirical processes,1
clustering of extremes,rare events,1
clustering of extremes,tail distribution function,1
clustering of extremes,uniform central,1
clustering of extremes,limit theorem,1
extremes,local empirical processes,1
extremes,rare events,1
extremes,tail distribution function,1
extremes,uniform central,1
extremes,limit theorem,2
local empirical processes,rare events,1
local empirical processes,tail distribution function,1
local empirical processes,uniform central,1
limit theorem,local empirical processes,1
rare events,tail distribution function,1
rare events,uniform central,1
limit theorem,rare events,1
tail distribution function,uniform central,1
limit theorem,tail distribution function,1
limit theorem,uniform central,1
integrated squared,simultaneous confidence band,1
difference test,simultaneous confidence band,1
quantile estimation,simultaneous confidence band,1
nonstationary nonlinear,simultaneous confidence band,1
simultaneous confidence band,time series,1
local stationarity,simultaneous confidence band,1
gaussian approximation,simultaneous confidence band,1
climate change,simultaneous confidence band,1
difference test,integrated squared,1
integrated squared,quantile estimation,1
integrated squared,nonstationary nonlinear,1
integrated squared,time series,1
integrated squared,local stationarity,1
gaussian approximation,integrated squared,1
climate change,integrated squared,1
difference test,quantile estimation,1
difference test,nonstationary nonlinear,1
difference test,time series,1
difference test,local stationarity,1
difference test,gaussian approximation,1
climate change,difference test,1
nonstationary nonlinear,quantile estimation,2
quantile estimation,time series,2
local stationarity,quantile estimation,2
gaussian approximation,quantile estimation,1
climate change,quantile estimation,2
nonstationary nonlinear,time series,2
local stationarity,nonstationary nonlinear,2
gaussian approximation,nonstationary nonlinear,1
climate change,nonstationary nonlinear,2
local stationarity,time series,3
gaussian approximation,time series,1
climate change,time series,2
gaussian approximation,local stationarity,2
climate change,local stationarity,2
climate change,gaussian approximation,1
asymptotic properties,brownian process,1
asymptotic properties,response-adaptive randomization,1
asymptotic properties,power,2
asymptotic properties,sample size,1
asymptotic properties,type i error,1
brownian process,response-adaptive randomization,1
brownian process,power,1
brownian process,sample size,1
brownian process,type i error,1
power,response-adaptive randomization,2
response-adaptive randomization,sample size,1
response-adaptive randomization,type i error,1
power,sample size,1
power,type i error,3
sample size,type i error,1
kinetic independence graph,stochastic kinetic model,1
counting and,stochastic kinetic model,1
point processes,stochastic kinetic model,1
dynamic and,stochastic kinetic model,1
local independence,stochastic kinetic model,1
graphical decomposition,stochastic kinetic model,1
reaction networks,stochastic kinetic model,1
stochastic kinetic model,systems biology,1
counting and,kinetic independence graph,1
kinetic independence graph,point processes,1
dynamic and,kinetic independence graph,1
kinetic independence graph,local independence,1
graphical decomposition,kinetic independence graph,1
kinetic independence graph,reaction networks,1
kinetic independence graph,systems biology,1
counting and,point processes,1
counting and,dynamic and,1
counting and,local independence,1
counting and,graphical decomposition,1
counting and,reaction networks,1
counting and,systems biology,1
dynamic and,point processes,1
local independence,point processes,1
graphical decomposition,point processes,1
point processes,reaction networks,1
point processes,systems biology,1
dynamic and,local independence,1
dynamic and,graphical decomposition,1
dynamic and,reaction networks,1
dynamic and,systems biology,1
graphical decomposition,local independence,1
local independence,reaction networks,1
local independence,systems biology,1
graphical decomposition,reaction networks,1
graphical decomposition,systems biology,1
reaction networks,systems biology,1
adaptive group lasso,component selection,1
adaptive group lasso,nonparametric regression,1
adaptive group lasso,selection consistency,1
component selection,high-dimensional data,1
component selection,nonparametric regression,1
component selection,selection consistency,1
high-dimensional data,nonparametric regression,2
high-dimensional data,selection consistency,1
nonparametric regression,selection consistency,1
high-dimensional alternatives,testing,1
hard thresholding,testing,1
simes procedure,testing,1
linear combinations of order statistics,testing,1
hanova,testing,1
hard thresholding,high-dimensional alternatives,1
high-dimensional alternatives,simes procedure,1
high-dimensional alternatives,linear combinations of order statistics,1
hanova,high-dimensional alternatives,1
hard thresholding,simes procedure,1
hard thresholding,linear combinations of order statistics,1
hanova,hard thresholding,1
linear combinations of order statistics,simes procedure,1
hanova,simes procedure,1
hanova,linear combinations of order statistics,1
nonlinear least squares,ordinary differential equation,1
nonlinear least squares,runge-kutta algorithm,1
nonlinear least squares,sieve approach,1
nonlinear least squares,spline smoothing,1
nonlinear least squares,time-varying parameter,1
ordinary differential equation,runge-kutta algorithm,1
ordinary differential equation,sieve approach,1
ordinary differential equation,spline smoothing,1
ordinary differential equation,time-varying parameter,1
runge-kutta algorithm,sieve approach,1
runge-kutta algorithm,spline smoothing,1
runge-kutta algorithm,time-varying parameter,1
sieve approach,spline smoothing,1
sieve approach,time-varying parameter,1
spline smoothing,time-varying parameter,1
gumbel distribution,kernel density estimation,1
gumbel distribution,linear process,1
gumbel distribution,maximum deviation,1
gumbel distribution,nonlinear time series,1
gumbel distribution,nonparametric regression,1
gumbel distribution,simultaneous confidence band,1
gumbel distribution,stationary process,1
gumbel distribution,treasury bill data,1
kernel density estimation,linear process,1
kernel density estimation,maximum deviation,1
kernel density estimation,nonlinear time series,1
kernel density estimation,nonparametric regression,1
kernel density estimation,simultaneous confidence band,1
kernel density estimation,stationary process,1
kernel density estimation,treasury bill data,1
linear process,maximum deviation,1
linear process,nonlinear time series,2
linear process,nonparametric regression,1
linear process,simultaneous confidence band,1
linear process,stationary process,1
linear process,treasury bill data,1
maximum deviation,nonlinear time series,1
maximum deviation,nonparametric regression,1
maximum deviation,simultaneous confidence band,1
maximum deviation,stationary process,1
maximum deviation,treasury bill data,1
nonlinear time series,nonparametric regression,2
nonlinear time series,simultaneous confidence band,1
nonlinear time series,stationary process,1
nonlinear time series,treasury bill data,1
nonparametric regression,simultaneous confidence band,1
nonparametric regression,stationary process,1
nonparametric regression,treasury bill data,1
simultaneous confidence band,stationary process,1
simultaneous confidence band,treasury bill data,1
stationary process,treasury bill data,1
curve registration,mean pattern estimation,1
inverse problem,mean pattern estimation,1
deconvolution,mean pattern estimation,1
mean pattern estimation,meyer wavelets,1
adaptive estimation,mean pattern estimation,1
besov space,mean pattern estimation,1
